[2025-08-01 17:34:25.407] [INFO] app.log file deleted successfully
[2025-08-01 17:34:25.407] [INFO] Trade counter reset successfully
[2025-08-01 17:34:25.407] [INFO] Initialized 6 symbols in database
[2025-08-01 17:34:27.632] [DEBUG] A key detected and service is enabled
[2025-08-01 17:34:27.632] [DEBUG] A key pressed - starting inclined pattern capture
[2025-08-01 17:34:27.633] [DEBUG] SimpleTradingOverlay.OnAKeyPressed() called
[2025-08-01 17:34:27.633] [INFO] A key pressed - starting inclined trading pattern creation
[2025-08-01 17:34:27.633] [INFO] Started inclined trading pattern creation for window 852876 (symbol: XAUUSD)
[2025-08-01 17:34:27.850] [INFO] First click recorded at (1609, 401)
[2025-08-01 17:34:28.434] [INFO] Second click recorded at (1687, 338)
[2025-08-01 17:34:28.435] [INFO] Current window handle: 852876
[2025-08-01 17:34:28.435] [INFO] Window rect: Left=0, Top=0, Right=1920, Bottom=1039
[2025-08-01 17:43:50.805] [DEBUG] RectangleBreakDetector: Alternative - Column X=118: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.805] [DEBUG] RectangleBreakDetector: Alternative - Column X=117: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.805] [DEBUG] RectangleBreakDetector: Alternative - Column X=116: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.805] [DEBUG] RectangleBreakDetector: Alternative - Column X=115: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.805] [DEBUG] RectangleBreakDetector: Alternative - Column X=114: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.806] [DEBUG] RectangleBreakDetector: Alternative - Column X=113: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.806] [DEBUG] RectangleBreakDetector: Alternative - Column X=112: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.806] [DEBUG] RectangleBreakDetector: Alternative - Column X=111: whitePixels=0, whiteSegments=0
[2025-08-01 17:43:50.806] [DEBUG] RectangleBreakDetector: Alternative - Column X=110: whitePixels=14, whiteSegments=1
[2025-08-01 17:43:50.806] [DEBUG] RectangleBreakDetector: Alternative - Column X=109: whitePixels=16, whiteSegments=1
[2025-08-01 17:43:50.806] [DEBUG] RectangleBreakDetector: Alternative - Column X=108: whitePixels=18, whiteSegments=1
[2025-08-01 17:43:50.807] [DEBUG] RectangleBreakDetector: Alternative - Column X=107: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.807] [DEBUG] RectangleBreakDetector: Alternative - Column X=106: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.807] [DEBUG] RectangleBreakDetector: Alternative - Column X=105: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.807] [DEBUG] RectangleBreakDetector: Alternative - Column X=104: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.807] [DEBUG] RectangleBreakDetector: Alternative - Column X=103: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.807] [DEBUG] RectangleBreakDetector: Alternative - Column X=102: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.809] [DEBUG] RectangleBreakDetector: Alternative - Column X=101: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.810] [DEBUG] RectangleBreakDetector: Alternative - Column X=100: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.810] [DEBUG] RectangleBreakDetector: Alternative - Column X=99: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.810] [DEBUG] RectangleBreakDetector: Alternative - Column X=98: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.810] [DEBUG] RectangleBreakDetector: Alternative - Column X=97: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.810] [DEBUG] RectangleBreakDetector: Alternative - Column X=96: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.811] [DEBUG] RectangleBreakDetector: Alternative - Column X=95: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.811] [DEBUG] RectangleBreakDetector: Alternative - Column X=94: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.811] [DEBUG] RectangleBreakDetector: Alternative - Column X=93: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.811] [DEBUG] RectangleBreakDetector: Alternative - Column X=92: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.812] [DEBUG] RectangleBreakDetector: Alternative - Column X=91: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.812] [DEBUG] RectangleBreakDetector: Alternative - Column X=90: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.812] [DEBUG] RectangleBreakDetector: Alternative - Column X=89: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.812] [DEBUG] RectangleBreakDetector: Alternative - Column X=88: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.812] [DEBUG] RectangleBreakDetector: Alternative - Column X=87: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.813] [DEBUG] RectangleBreakDetector: Alternative - Column X=86: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.813] [DEBUG] RectangleBreakDetector: Alternative - Column X=85: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.813] [DEBUG] RectangleBreakDetector: Alternative - Column X=84: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.813] [DEBUG] RectangleBreakDetector: Alternative - Column X=83: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.813] [DEBUG] RectangleBreakDetector: Alternative - Column X=82: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.813] [DEBUG] RectangleBreakDetector: Alternative - Column X=81: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.814] [DEBUG] RectangleBreakDetector: Alternative - Column X=80: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.814] [DEBUG] RectangleBreakDetector: Alternative - Column X=79: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.814] [DEBUG] RectangleBreakDetector: Alternative - Column X=78: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.814] [DEBUG] RectangleBreakDetector: Alternative - Column X=77: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.814] [DEBUG] RectangleBreakDetector: Alternative - Column X=76: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.815] [DEBUG] RectangleBreakDetector: Alternative - Column X=75: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.815] [DEBUG] RectangleBreakDetector: Alternative - Column X=74: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.815] [DEBUG] RectangleBreakDetector: Alternative - Column X=73: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.815] [DEBUG] RectangleBreakDetector: Alternative - Column X=72: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.816] [DEBUG] RectangleBreakDetector: Alternative - Column X=71: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.816] [DEBUG] RectangleBreakDetector: Alternative - Column X=70: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.816] [DEBUG] RectangleBreakDetector: Alternative - Column X=69: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.816] [DEBUG] RectangleBreakDetector: Alternative - Column X=68: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.816] [DEBUG] RectangleBreakDetector: Alternative - Column X=67: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.816] [DEBUG] RectangleBreakDetector: Alternative - Column X=66: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.817] [DEBUG] RectangleBreakDetector: Alternative - Column X=65: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.817] [DEBUG] RectangleBreakDetector: Alternative - Column X=64: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.817] [DEBUG] RectangleBreakDetector: Alternative - Column X=63: whitePixels=5, whiteSegments=2
[2025-08-01 17:43:50.817] [DEBUG] RectangleBreakDetector: Alternative - Column X=62: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.817] [DEBUG] RectangleBreakDetector: Alternative - Column X=61: whitePixels=5, whiteSegments=2
[2025-08-01 17:43:50.818] [DEBUG] RectangleBreakDetector: Alternative - Column X=60: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.818] [DEBUG] RectangleBreakDetector: Alternative - Column X=59: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.818] [DEBUG] RectangleBreakDetector: Alternative - Column X=58: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.818] [DEBUG] RectangleBreakDetector: Alternative - Column X=57: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.819] [DEBUG] RectangleBreakDetector: Alternative - Column X=56: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.819] [DEBUG] RectangleBreakDetector: Alternative - Column X=55: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.819] [DEBUG] RectangleBreakDetector: Alternative - Column X=54: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.819] [DEBUG] RectangleBreakDetector: Alternative - Column X=53: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.819] [DEBUG] RectangleBreakDetector: Alternative - Column X=52: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.820] [DEBUG] RectangleBreakDetector: Alternative - Column X=51: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.820] [DEBUG] RectangleBreakDetector: Alternative - Column X=50: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.820] [DEBUG] RectangleBreakDetector: Alternative - Column X=49: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.820] [DEBUG] RectangleBreakDetector: Alternative - Column X=48: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.820] [DEBUG] RectangleBreakDetector: Alternative - Column X=47: whitePixels=2, whiteSegments=2
[2025-08-01 17:43:50.821] [DEBUG] RectangleBreakDetector: Alternative - Column X=46: whitePixels=2, whiteSegments=2
[2025-08-01 17:43:50.821] [DEBUG] RectangleBreakDetector: Alternative - Column X=45: whitePixels=2, whiteSegments=2
[2025-08-01 17:43:50.821] [DEBUG] RectangleBreakDetector: Alternative - Column X=44: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.821] [DEBUG] RectangleBreakDetector: Alternative - Column X=43: whitePixels=2, whiteSegments=2
[2025-08-01 17:43:50.821] [DEBUG] RectangleBreakDetector: Alternative - Column X=42: whitePixels=2, whiteSegments=2
[2025-08-01 17:43:50.822] [DEBUG] RectangleBreakDetector: Alternative - Column X=41: whitePixels=2, whiteSegments=2
[2025-08-01 17:43:50.822] [DEBUG] RectangleBreakDetector: Alternative - Column X=40: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.822] [DEBUG] RectangleBreakDetector: Alternative - Column X=39: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.822] [DEBUG] RectangleBreakDetector: Alternative - Column X=38: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.823] [DEBUG] RectangleBreakDetector: Alternative - Column X=37: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.823] [DEBUG] RectangleBreakDetector: Alternative - Column X=36: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.823] [DEBUG] RectangleBreakDetector: Alternative - Column X=35: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.823] [DEBUG] RectangleBreakDetector: Alternative - Column X=34: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.823] [DEBUG] RectangleBreakDetector: Alternative - Column X=33: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.823] [DEBUG] RectangleBreakDetector: Alternative - Column X=32: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.824] [DEBUG] RectangleBreakDetector: Alternative - Column X=31: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.824] [DEBUG] RectangleBreakDetector: Alternative - Column X=30: whitePixels=2, whiteSegments=2
[2025-08-01 17:43:50.824] [DEBUG] RectangleBreakDetector: Alternative - Column X=29: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.824] [DEBUG] RectangleBreakDetector: Alternative - Column X=28: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.824] [DEBUG] RectangleBreakDetector: Alternative - Column X=27: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.825] [DEBUG] RectangleBreakDetector: Alternative - Column X=26: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.825] [DEBUG] RectangleBreakDetector: Alternative - Column X=25: whitePixels=4, whiteSegments=2
[2025-08-01 17:43:50.825] [DEBUG] RectangleBreakDetector: Alternative - Column X=24: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.825] [DEBUG] RectangleBreakDetector: Alternative - Column X=23: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.825] [DEBUG] RectangleBreakDetector: Alternative - Column X=22: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.826] [DEBUG] RectangleBreakDetector: Alternative - Column X=21: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.826] [DEBUG] RectangleBreakDetector: Alternative - Column X=20: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.826] [DEBUG] RectangleBreakDetector: Alternative - Column X=19: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.826] [DEBUG] RectangleBreakDetector: Alternative - Column X=18: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.826] [DEBUG] RectangleBreakDetector: Alternative - Column X=17: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.826] [DEBUG] RectangleBreakDetector: Alternative - Column X=16: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.827] [DEBUG] RectangleBreakDetector: Alternative - Column X=15: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.827] [DEBUG] RectangleBreakDetector: Alternative - Column X=14: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.827] [DEBUG] RectangleBreakDetector: Alternative - Column X=13: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.827] [DEBUG] RectangleBreakDetector: Alternative - Column X=12: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.828] [DEBUG] RectangleBreakDetector: Alternative - Column X=11: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.828] [DEBUG] RectangleBreakDetector: Alternative - Column X=10: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.828] [DEBUG] RectangleBreakDetector: Alternative - Column X=9: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.828] [DEBUG] RectangleBreakDetector: Alternative - Column X=8: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.828] [DEBUG] RectangleBreakDetector: Alternative - Column X=7: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.829] [DEBUG] RectangleBreakDetector: Alternative - Column X=6: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.829] [DEBUG] RectangleBreakDetector: Alternative - Column X=5: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.829] [DEBUG] RectangleBreakDetector: Alternative - Column X=4: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.829] [DEBUG] RectangleBreakDetector: Alternative - Column X=3: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.829] [DEBUG] RectangleBreakDetector: Alternative - Column X=2: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.829] [DEBUG] RectangleBreakDetector: Alternative - Column X=1: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.830] [DEBUG] RectangleBreakDetector: Alternative - Column X=0: whitePixels=6, whiteSegments=2
[2025-08-01 17:43:50.830] [WARNING] RectangleBreakDetector: Alternative method also failed to find vertical line
[2025-08-01 17:43:50.830] [DEBUG] RectangleBreakDetector: Both methods failed to find right vertical line for capture ID=20250801174322334
[2025-08-01 17:43:50.830] [INFO] CaptureTrackingService: [C:\apps\jforex-trading-terminal-win10\bin\Debug\net6.0-windows\CAPTURES\20250801174322334\tracking.png] Rectangle detected, breakout NOT found.
[2025-08-01 17:43:50.830] [DEBUG] CaptureTrackingService: RectangleBreakDetector result for C:\apps\jforex-trading-terminal-win10\bin\Debug\net6.0-windows\CAPTURES\20250801174322334\tracking.png: NoBreakout
[2025-08-01 17:43:51.846] [INFO] CaptureTrackingService: Папка трекинга очищена: C:\apps\jforex-trading-terminal-win10\bin\Debug\net6.0-windows\Tracking\captures
[2025-08-01 17:43:51.846] [DEBUG] CaptureTrackingService: Обработка capture ID=20250801174322334, Handle=3671812, X=1499, Y=617, W=149, H=135
[2025-08-01 17:43:51.857] [DEBUG] CaptureTrackingService: Processing OHLC_rectangle capture ID=20250801174322334, Meta length=22
[2025-08-01 17:43:51.858] [DEBUG] RectangleBreakDetector: Starting breakout detection for capture ID=20250801174322334, Direction=Down
[2025-08-01 17:43:51.858] [DEBUG] RectangleBreakDetector: Searching for vertical line with minWhitePixels=22, minConsecutive=13
[2025-08-01 17:43:51.858] [DEBUG] RectangleBreakDetector: Column X=148: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.858] [DEBUG] RectangleBreakDetector: Column X=147: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.858] [DEBUG] RectangleBreakDetector: Column X=146: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.858] [DEBUG] RectangleBreakDetector: Column X=145: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.859] [DEBUG] RectangleBreakDetector: Column X=144: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.859] [DEBUG] RectangleBreakDetector: Column X=143: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.859] [DEBUG] RectangleBreakDetector: Column X=142: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.859] [DEBUG] RectangleBreakDetector: Column X=141: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.860] [DEBUG] RectangleBreakDetector: Column X=140: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.860] [DEBUG] RectangleBreakDetector: Column X=139: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.860] [DEBUG] RectangleBreakDetector: Column X=138: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.860] [DEBUG] RectangleBreakDetector: Column X=137: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.861] [DEBUG] RectangleBreakDetector: Column X=136: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.861] [DEBUG] RectangleBreakDetector: Column X=135: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.861] [DEBUG] RectangleBreakDetector: Column X=134: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.861] [DEBUG] RectangleBreakDetector: Column X=133: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.861] [DEBUG] RectangleBreakDetector: Column X=132: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.862] [DEBUG] RectangleBreakDetector: Column X=131: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.862] [DEBUG] RectangleBreakDetector: Column X=130: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.862] [DEBUG] RectangleBreakDetector: Column X=129: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.862] [DEBUG] RectangleBreakDetector: Column X=128: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.863] [DEBUG] RectangleBreakDetector: Column X=127: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.863] [DEBUG] RectangleBreakDetector: Column X=126: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.863] [DEBUG] RectangleBreakDetector: Column X=125: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.863] [DEBUG] RectangleBreakDetector: Column X=124: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.863] [DEBUG] RectangleBreakDetector: Column X=123: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.864] [DEBUG] RectangleBreakDetector: Column X=122: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.864] [DEBUG] RectangleBreakDetector: Column X=121: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.864] [DEBUG] RectangleBreakDetector: Column X=120: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.864] [DEBUG] RectangleBreakDetector: Column X=119: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.864] [DEBUG] RectangleBreakDetector: Column X=118: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.865] [DEBUG] RectangleBreakDetector: Column X=117: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.865] [DEBUG] RectangleBreakDetector: Column X=116: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.865] [DEBUG] RectangleBreakDetector: Column X=115: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.865] [DEBUG] RectangleBreakDetector: Column X=114: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.865] [DEBUG] RectangleBreakDetector: Column X=113: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.866] [DEBUG] RectangleBreakDetector: Column X=112: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.866] [DEBUG] RectangleBreakDetector: Column X=111: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:43:51.866] [DEBUG] RectangleBreakDetector: Column X=110: whitePixels=14, maxConsecutive=14, gaps=1
[2025-08-01 17:43:51.866] [DEBUG] RectangleBreakDetector: Column X=109: whitePixels=16, maxConsecutive=16, gaps=1
[2025-08-01 17:43:51.866] [DEBUG] RectangleBreakDetector: Column X=108: whitePixels=18, maxConsecutive=18, gaps=1
[2025-08-01 17:43:51.867] [DEBUG] RectangleBreakDetector: Column X=107: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.867] [DEBUG] RectangleBreakDetector: Column X=106: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.867] [DEBUG] RectangleBreakDetector: Column X=105: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.867] [DEBUG] RectangleBreakDetector: Column X=104: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.868] [DEBUG] RectangleBreakDetector: Column X=103: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.868] [DEBUG] RectangleBreakDetector: Column X=102: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.868] [DEBUG] RectangleBreakDetector: Column X=101: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.868] [DEBUG] RectangleBreakDetector: Column X=100: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.869] [DEBUG] RectangleBreakDetector: Column X=99: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.869] [DEBUG] RectangleBreakDetector: Column X=98: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.869] [DEBUG] RectangleBreakDetector: Column X=97: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.869] [DEBUG] RectangleBreakDetector: Column X=96: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.869] [DEBUG] RectangleBreakDetector: Column X=95: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.870] [DEBUG] RectangleBreakDetector: Column X=94: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.870] [DEBUG] RectangleBreakDetector: Column X=93: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.870] [DEBUG] RectangleBreakDetector: Column X=92: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.870] [DEBUG] RectangleBreakDetector: Column X=91: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.870] [DEBUG] RectangleBreakDetector: Column X=90: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.871] [DEBUG] RectangleBreakDetector: Column X=89: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.871] [DEBUG] RectangleBreakDetector: Column X=88: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.871] [DEBUG] RectangleBreakDetector: Column X=87: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.871] [DEBUG] RectangleBreakDetector: Column X=86: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.871] [DEBUG] RectangleBreakDetector: Column X=85: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.872] [DEBUG] RectangleBreakDetector: Column X=84: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.872] [DEBUG] RectangleBreakDetector: Column X=83: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.872] [DEBUG] RectangleBreakDetector: Column X=82: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.872] [DEBUG] RectangleBreakDetector: Column X=81: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.872] [DEBUG] RectangleBreakDetector: Column X=80: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.872] [DEBUG] RectangleBreakDetector: Column X=79: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.872] [DEBUG] RectangleBreakDetector: Column X=78: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.873] [DEBUG] RectangleBreakDetector: Column X=77: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.873] [DEBUG] RectangleBreakDetector: Column X=76: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.873] [DEBUG] RectangleBreakDetector: Column X=75: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.873] [DEBUG] RectangleBreakDetector: Column X=74: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.873] [DEBUG] RectangleBreakDetector: Column X=73: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.874] [DEBUG] RectangleBreakDetector: Column X=72: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.874] [DEBUG] RectangleBreakDetector: Column X=71: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.874] [DEBUG] RectangleBreakDetector: Column X=70: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.874] [DEBUG] RectangleBreakDetector: Column X=69: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.874] [DEBUG] RectangleBreakDetector: Column X=68: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.875] [DEBUG] RectangleBreakDetector: Column X=67: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.875] [DEBUG] RectangleBreakDetector: Column X=66: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.875] [DEBUG] RectangleBreakDetector: Column X=65: whitePixels=6, maxConsecutive=3, gaps=2
[2025-08-01 17:43:51.875] [DEBUG] RectangleBreakDetector: Column X=64: whitePixels=6, maxConsecutive=3, gaps=2
