[2025-08-01 17:34:25.407] [INFO] app.log file deleted successfully
[2025-08-01 17:34:25.407] [INFO] Trade counter reset successfully
[2025-08-01 17:34:25.407] [INFO] Initialized 6 symbols in database
[2025-08-01 17:34:27.632] [DEBUG] A key detected and service is enabled
[2025-08-01 17:34:27.632] [DEBUG] A key pressed - starting inclined pattern capture
[2025-08-01 17:34:27.633] [DEBUG] SimpleTradingOverlay.OnAKeyPressed() called
[2025-08-01 17:34:27.633] [INFO] A key pressed - starting inclined trading pattern creation
[2025-08-01 17:34:27.633] [INFO] Started inclined trading pattern creation for window 852876 (symbol: XAUUSD)
[2025-08-01 17:34:27.850] [INFO] First click recorded at (1609, 401)
[2025-08-01 17:34:28.434] [INFO] Second click recorded at (1687, 338)
[2025-08-01 17:34:28.435] [INFO] Current window handle: 852876
[2025-08-01 17:34:28.435] [INFO] Window rect: Left=0, Top=0, Right=1920, Bottom=1039
[2025-08-01 17:34:28.492] [DEBUG] RectangleBreakDetector: Column X=92: whitePixels=4, maxConsecutive=4, gaps=1
[2025-08-01 17:34:28.492] [DEBUG] RectangleBreakDetector: Column X=91: whitePixels=4, maxConsecutive=4, gaps=1
[2025-08-01 17:34:28.492] [DEBUG] RectangleBreakDetector: Column X=90: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.492] [DEBUG] RectangleBreakDetector: Column X=89: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.492] [DEBUG] RectangleBreakDetector: Column X=88: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.493] [DEBUG] RectangleBreakDetector: Column X=87: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.493] [DEBUG] RectangleBreakDetector: Column X=86: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.493] [DEBUG] RectangleBreakDetector: Column X=85: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.493] [DEBUG] RectangleBreakDetector: Column X=84: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.493] [DEBUG] RectangleBreakDetector: Column X=83: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.494] [DEBUG] RectangleBreakDetector: Column X=82: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.494] [DEBUG] RectangleBreakDetector: Column X=81: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.494] [DEBUG] RectangleBreakDetector: Column X=80: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.494] [DEBUG] RectangleBreakDetector: Column X=79: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.494] [DEBUG] RectangleBreakDetector: Column X=78: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.495] [DEBUG] RectangleBreakDetector: Column X=77: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.495] [DEBUG] RectangleBreakDetector: Column X=76: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.495] [DEBUG] RectangleBreakDetector: Column X=75: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.495] [DEBUG] RectangleBreakDetector: Column X=74: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.495] [DEBUG] RectangleBreakDetector: Column X=73: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.496] [DEBUG] RectangleBreakDetector: Column X=72: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.496] [DEBUG] RectangleBreakDetector: Column X=71: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.496] [DEBUG] RectangleBreakDetector: Column X=70: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.496] [DEBUG] RectangleBreakDetector: Column X=69: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.496] [DEBUG] RectangleBreakDetector: Column X=68: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.497] [DEBUG] RectangleBreakDetector: Column X=67: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.497] [DEBUG] RectangleBreakDetector: Column X=66: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.497] [DEBUG] RectangleBreakDetector: Column X=65: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.497] [DEBUG] RectangleBreakDetector: Column X=64: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.497] [DEBUG] RectangleBreakDetector: Column X=63: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.498] [DEBUG] RectangleBreakDetector: Column X=62: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.498] [DEBUG] RectangleBreakDetector: Column X=61: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.498] [DEBUG] RectangleBreakDetector: Column X=60: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.498] [DEBUG] RectangleBreakDetector: Column X=59: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.499] [DEBUG] RectangleBreakDetector: Column X=58: whitePixels=4, maxConsecutive=4, gaps=1
[2025-08-01 17:34:28.499] [DEBUG] RectangleBreakDetector: Column X=57: whitePixels=5, maxConsecutive=5, gaps=1
[2025-08-01 17:34:28.499] [DEBUG] RectangleBreakDetector: Column X=56: whitePixels=4, maxConsecutive=4, gaps=1
[2025-08-01 17:34:28.500] [DEBUG] RectangleBreakDetector: Column X=55: whitePixels=4, maxConsecutive=4, gaps=1
[2025-08-01 17:34:28.500] [DEBUG] RectangleBreakDetector: Column X=54: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.500] [DEBUG] RectangleBreakDetector: Column X=53: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.500] [DEBUG] RectangleBreakDetector: Column X=52: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.501] [DEBUG] RectangleBreakDetector: Column X=51: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.501] [DEBUG] RectangleBreakDetector: Column X=50: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.501] [DEBUG] RectangleBreakDetector: Column X=49: whitePixels=2, maxConsecutive=2, gaps=1
